Contact Name,ID,ID Type,TS Override
Vermont -,3150,Group,2
Virginia -,3151,Group,2
Washington -,3153,Group,2
West Virginia -,3154,Group,2
Wisconsin -,3155,Group,2
Wyoming -,3156,Group,2
CAP - Civil Air,3160,Group,2
DVSwitch,3166,Group,2
Allstar,3167,Group,2
Midwest,3169,Group,2
NoCo,3171,Group,2
Northeast,3172,Group,2
Mid-Atlantic,3173,Group,2
Southeast,3174,Group,2
Southern Plains,3175,Group,2
Southwest,3176,Group,2
Mountain,3177,Group,2
POTA,3181,Group,2
Chemung Storm Ch,3195,Group,2
Amateur Televisi,3196,Group,2
US Hurricane Net,3199,Group,2
PRadise Repeater,3300,Group,2
Distrito Arecibo,3304,Group,2
Distrito Bayamon,3305,Group,2
Distrito Carolin,3306,Group,2
Distrito Guayama,3307,Group,2
Distrito Humacao,3308,Group,2
Distrito Mayague,3309,Group,2
XE 1,3341,Group,2
XE 2,3342,Group,2
XE 3,3343,Group,2
Castries,3581,Group,2
VieuX Fort,3582,Group,2
PJ2 Tech,3622,Group,2
Department Ouest,3722,Group,2
Department Sud-E,3728,Group,2
REACT,3740,Group,2
Woodbrook,3741,Group,2
Port of Spain,3742,Group,2
San Fernando,3743,Group,2
Tobago,3744,Group,2
Disconnect,4000,Private,Disabled
BARS,4269,Group,2
West Malaysia,5021,Group,2
East Malaysia,5022,Group,2
XLX500 G,5050,Group,2
Australian capit,5051,Group,2
Australia New So,5052,Group,2
Australia Victor,5053,Group,2
Australia Queens,5054,Group,2
South Australia,5055,Group,2
Western Australi,5056,Group,2
Tasmania,5057,Group,2
Australia Northe,5058,Group,2
NCR,5151,Group,2
CRIRCV,5152,Group,2
Cluzon,5153,Group,2
BICOLR,5154,Group,2
R1-Central,5201,Group,2
R2-East,5202,Group,2
R3-L.Northeast,5203,Group,2
R4-U.Northeast,5204,Group,2
R5-U.North,5205,Group,2
R6-L.North,5206,Group,2
R7-West,5207,Group,2
R8-U.South,5208,Group,2
R9-L.South,5209,Group,2
ZL1 Regional,5301,Group,2
ZL2 Regional,5302,Group,2
ZL3 Regional,5303,Group,2
ZL4 Regional,5304,Group,2
Rabat,6041,Group,2
Marrakech,6042,Group,2
Meknes,6043,Group,2
El Jadida,6044,Group,2
Tetouan,6045,Group,2
Fez,6046,Group,2
Oujda,6047,Group,2
La Renion,6471,Group,2
SARL Hamnet,6558,Group,Disabled
XLX526C,7060,Group,2
Region 1,7061,Group,2
Region 2,7062,Group,2
Region 3,7063,Group,2
Eventos Especial,7064,Group,2
Emergencias,7065,Group,2
Honduras zone 1,7081,Group,2
Honduras zone 2,7082,Group,2
Honduras zone 3,7083,Group,2
Honduras zone 4,7084,Group,2
Honduras zone 5,7085,Group,2
Honduras zone 6,7086,Group,2
Honduras zone 7,7087,Group,2
Honduras zone 8,7088,Group,2
Honduras zone 9,7089,Group,2
Managua Capital,7101,Group,2
Zona del Pacific,7102,Group,2
Zona Del Atlanti,7103,Group,2
Zona Norte,7104,Group,2
Panama City,7141,Group,2
Colon,7142,Group,2
wires-x fusion l,7143,Group,2
Chiriqui,7144,Group,2
GREMPA,7145,Group,2
UPRA,7146,Group,2
RadioClubPanama,7148,Group,2
TRUJILLO ZONA 2,7162,Group,2
Peru Zona OA6,7166,Group,2
Caba,7220,Group,2
Amba,7221,Group,2
Circulo Rosario,7222,Group,2
Argentina Networ,7223,Group,2
AR-Nautica,7224,Group,2
Argentina Digita,7225,Group,2
Hamradio ARG,7226,Group,2
Argentina Link,7227,Group,2
Argentina Room,7229,Group,2
CE0,7300,Group,2
CE1,7301,Group,2
CE2,7302,Group,2
CE3,7303,Group,2
CE4,7304,Group,2
CE5,7305,Group,2
CE6,7306,Group,2
CE7,7307,Group,2
CE8,7308,Group,2
CE9,7309,Group,2
Colombia HK0 Zon,7320,Group,2
Colombia HK3 Zon,7323,Group,2
Colombia HK5 Zon,7325,Group,2
Colombia HK6 Zon,7326,Group,2
Ecuador-HC3-Loja,7400,Group,2
Ecuador HC3 Loja,7401,Group,2
Ecuador DX Club,7402,Group,2
Uruguay Link,7487,Group,2
Punta del Este U,7489,Group,2
JOTA Tac 1,9071,Group,2
JOTA Tac 2,9072,Group,2
JOTA Tac 3,9073,Group,2
JOTA Tac 4,9074,Group,2
JOTA Tac 5,9075,Group,2
JOTA Tac 6,9076,Group,2
JOTA Tac 7,9077,Group,2
JOTA Tac 8,9078,Group,2
World Maritime,9101,Group,2
World Aviation,9102,Group,2
XRF007 B,9107,Group,2
Emcom EU,9112,Group,2
EURAO,9201,Group,2
Francophonie C4F,9371,Group,2
ATV Talk,9410,Group,2
ICQ Podcast,9480,Group,2
Collegiate,9500,Group,2
Cafe Gratis,9800,Group,2
Emcom US,9911,Group,2
Hellenic Tech 1,20201,Group,2
Hellenic Tech 2,20202,Group,2
Hellenic Echolnk,20203,Group,2
XLX145/DStar,20206,Group,2
RAAG XLX737,20207,Group,2
YSF202 Greece,20208,Group,2
PATRAS Group,20231,Group,2
Trikala Greece,20241,Group,2
Ioannina Greece,20261,Group,2
Corfu Island Gre,20281,Group,2
Wires-X Hobbysco,20401,Group,2
Noordenveld,20413,Group,2
Regio Keistad,20421,Group,2
Rijk van Nijmege,20422,Group,2
Utrecht,20423,Group,2
Rijnmond,20424,Group,2
Drechtsteden,20426,Group,2
NHNoord,20427,Group,2
Limburg,20431,Group,2
Noord-Brabant,20432,Group,2
Maasdriehoek,20433,Group,2
Regio IJsselmond,20441,Group,2
Gelderland midde,20443,Group,2
GOC Parkstad,20492,Group,2
RFDX,20493,Group,2
Belgium N YSF Br,20601,Group,2
